execucao,bytes,tempo_s,throughput_mbps
1,1050624,10.121312,0.830425
2,1050624,10.129315,0.829769
3,1050624,10.155046,0.827667
4,1050624,10.143305,0.828625
5,1050624,10.140014,0.828894
6,1050624,10.124420,0.830170
7,1050624,10.129696,0.829738
8,1050624,10.126264,0.830019
9,1050624,10.129508,0.829753
10,1050624,10.147793,0.828258
11,1050624,10.127746,0.829898
12,1050624,10.103832,0.831862
13,1050624,10.126404,0.830008
14,1050624,10.111365,0.831242
15,1050624,10.142102,0.828723
16,1050624,10.143258,0.828628
17,1050624,10.345240,0.812450
18,1050624,10.124356,0.830175
19,1050624,10.113266,0.831086
20,1050624,10.119396,0.830582
21,1050624,10.118164,0.830684
22,1050624,10.137602,0.829091
23,1050624,10.128006,0.829876
24,1050624,10.137860,0.829070
25,1050624,10.138984,0.828978
26,1050624,10.131360,0.829602
27,1050624,10.133081,0.829461
28,1050624,10.135570,0.829257
29,1050624,10.133564,0.829421
30,1050624,10.155872,0.827599
