execucao,bytes,tempo_s,throughput_mbps
1,1050624,75.626048,0.111139
2,1050624,72.108032,0.116561
3,1050624,78.116280,0.107596
4,1050624,81.125553,0.103605
5,1050624,78.094463,0.107626
6,1050624,72.555848,0.115842
7,1050624,70.582624,0.119080
8,1050624,74.589401,0.112683
9,1050624,75.097580,0.111921
10,1050624,69.594818,0.120770
11,1050624,80.619288,0.104255
12,1050624,72.072257,0.116619
13,1050624,67.609614,0.124317
14,1050624,76.113201,0.110428
15,1050624,73.736784,0.113986
16,1050624,79.631267,0.105549
17,1050624,71.123950,0.118174
18,1050624,69.518405,0.120903
19,1050624,74.121495,0.113395
20,1050624,67.137751,0.125190
21,1050624,67.036139,0.125380
22,1050624,73.068243,0.115029
23,1050624,72.609166,0.115757
24,1050624,70.500627,0.119219
25,1050624,82.705991,0.101625
26,1050624,77.699591,0.108173
27,1050624,71.728135,0.117178
28,1050624,66.700254,0.126011
29,1050624,74.739800,0.112457
30,1050624,71.712265,0.117204
