execucao,bytes,tempo_s,throughput_mbps
1,1050624,189.726148,0.044301
2,1050624,195.672539,0.042954
3,1050624,179.599664,0.046798
4,1050624,174.061122,0.048288
5,1050624,189.056272,0.044458
6,1050624,184.299837,0.045605
7,1050624,189.447406,0.044366
8,1050624,189.981432,0.044241
9,1050624,186.892717,0.044972
10,1050624,189.529434,0.044347
11,1050624,186.927103,0.044964
12,1050624,186.997461,0.044947
13,1050624,175.423795,0.047912
14,1050624,178.473568,0.047094
15,1050624,195.487039,0.042995
16,1050624,182.417788,0.046076
17,1050624,183.995313,0.045680
18,1050624,184.947629,0.045445
19,1050624,180.976220,0.046443
20,1050624,178.710558,0.047031
21,1050624,183.659120,0.045764
22,1050624,196.929419,0.042680
23,1050624,176.445431,0.047635
24,1050624,187.023723,0.044941
25,1050624,180.991142,0.046439
26,1050624,191.196812,0.043960
27,1050624,188.686369,0.044545
28,1050624,187.505278,0.044825
29,1050624,185.688127,0.045264
30,1050624,178.525536,0.047080
