execucao,bytes,tempo_s,throughput_mbps
1,1050624,0.088272,95.217249
2,1050624,0.101133,83.108425
3,1050624,0.089224,94.200855
4,1050624,0.093657,89.741995
5,1050624,0.086429,97.247823
6,1050624,0.086575,97.083139
7,1050624,0.087196,96.392188
8,1050624,0.098291,85.511603
9,1050624,0.088148,95.350607
10,1050624,0.079474,105.757787
11,1050624,0.096676,86.940013
12,1050624,0.086457,97.216214
13,1050624,0.097252,86.425025
14,1050624,0.084893,99.006689
15,1050624,0.084864,99.040444
16,1050624,0.087955,95.559798
17,1050624,0.084952,98.938649
18,1050624,0.091529,91.828678
19,1050624,0.091869,91.488471
20,1050624,0.090174,93.208775
21,1050624,0.087606,95.940960
22,1050624,0.090401,92.974346
23,1050624,0.097351,86.336819
24,1050624,0.083136,101.099760
25,1050624,0.084211,99.808211
26,1050624,0.084798,99.117723
27,1050624,0.087721,95.814635
28,1050624,0.076777,109.472384
29,1050624,0.087668,95.872645
30,1050624,0.083952,100.116433
