execucao,bytes,tempo_s,throughput_mbps
1,1050624,5.400607,1.556305
2,1050624,0.862150,9.748871
3,1050624,5.591170,1.503262
4,1050624,6.485506,1.295966
5,1050624,0.776043,10.830569
6,1050624,3.548452,2.368636
7,1050624,0.735030,11.434903
8,1050624,0.380022,22.117132
9,1050624,5.581187,1.505951
10,1050624,4.023424,2.089015
11,1050624,8.711795,0.964783
12,1050624,5.981832,1.405087
13,1050624,0.619540,13.566512
14,1050624,7.985857,1.052485
15,1050624,3.936221,2.135295
16,1050624,10.675805,0.787294
17,1050624,5.068121,1.658404
18,1050624,3.464400,2.426103
19,1050624,5.287031,1.589738
20,1050624,3.510687,2.394116
21,1050624,8.007766,1.049605
22,1050624,9.976796,0.842454
23,1050624,3.670292,2.290006
24,1050624,2.917794,2.880598
25,1050624,6.947891,1.209718
26,1050624,2.882185,2.916187
27,1050624,7.458872,1.126845
28,1050624,3.129245,2.685949
29,1050624,4.569643,1.839310
30,1050624,7.069146,1.188969
