execucao,bytes,tempo_s,throughput_mbps
1,1050624,31.782589,0.264453
2,1050624,12.514755,0.671607
3,1050624,21.534641,0.390301
4,1050624,1.321485,6.360263
5,1050624,27.791774,0.302427
6,1050624,24.257641,0.346488
7,1050624,28.965200,0.290176
8,1050624,26.901922,0.312431
9,1050624,24.010146,0.350060
10,1050624,25.968209,0.323665
11,1050624,24.626748,0.341295
12,1050624,19.927128,0.421786
13,1050624,14.544891,0.577866
14,1050624,21.851883,0.384635
15,1050624,20.219628,0.415685
16,1050624,25.947535,0.323923
17,1050624,23.560639,0.356739
18,1050624,24.412863,0.344285
19,1050624,23.016672,0.365170
20,1050624,25.546121,0.329012
21,1050624,25.645255,0.327741
22,1050624,24.437672,0.343936
23,1050624,16.241769,0.517492
24,1050624,24.711771,0.340121
25,1050624,25.016813,0.335974
26,1050624,22.255404,0.377661
27,1050624,28.395659,0.295996
28,1050624,17.843131,0.471049
29,1050624,26.987099,0.311445
30,1050624,24.400959,0.344453
